Social.Progress.Index,Basic.Human.Needs,Foundations.of.Wellbeing,Opportunity,Nutrition.and.Basic.Medical.Care,Water.and.Sanitation,Shelter,Personal.Safety,Access.to.Basic.Knowledge,Access.to.Information.and.Communications,Health.and.Wellness,Ecosystem.Sustainability,Personal.Rights,Personal.Freedom.and.Choice,Tolerance.and.Inclusion,Access.to.Advanced.Education,t1
50.94,53.34,57.02,42.45,63.22,54.42,43.75,51.96,77.55,51.72,59.78,39.02,19.52,65.28,57.51,27.49,Swaziland
88.06,94.83,86.43,82.93,99.42,100,86.42,93.48,98.89,95.07,80.22,71.54,87.91,88.98,80.43,74.38,Sweden
87.97,95.66,86.5,81.75,99.33,99.93,90.52,92.85,94.9,92.31,76.6,82.21,87.91,91.1,77.34,70.67,Switzerland
56.49,62.58,63.09,43.79,75.1,65.61,53.02,56.59,90.57,60.94,62.1,38.77,41.29,50.5,40.55,42.8,Tajikistan
47.14,41.39,58.23,41.79,62.48,20.58,31.22,51.28,65.37,48.6,69.9,49.04,49.27,50.71,42.99,24.18,Tanzania
66.34,75.77,72.35,50.9,94.74,81.22,82.23,44.88,94.23,65.97,70.42,58.79,41.28,72.34,41.82,48.15,Thailand
46.66,45.11,59.4,35.46,69.69,17.41,36.27,57.08,59.3,50.26,68.66,59.38,32.16,49.08,47.24,13.38,Togo
64.92,81.13,68.43,45.2,97.03,85.63,76.02,65.85,92.03,69.67,71.13,40.89,57.99,59.87,34.81,28.14,Tunisia
66.24,81.5,66.61,50.61,97.31,96.2,73.81,58.68,91.85,65.13,66.27,43.2,54.44,57.85,42.7,47.45,Turkey
49.49,47.91,61.54,39.02,66.67,38.86,36.76,49.33,61.79,45.49,66.97,71.91,39.5,52.02,41.66,22.91,Uganda
65.69,78.28,61.74,57.05,97.84,87.76,69.55,57.96,97.76,69.82,42.64,36.73,56.72,52.14,44.52,74.83,Ukraine
72.79,89.63,74.16,54.59,98.14,93.31,87.64,79.44,93.94,82.6,69.68,50.42,21.31,73.36,63.99,59.69,United Arab Emirates
84.68,92.22,79.04,82.78,99.09,99.89,86.13,83.79,98.17,89.43,74.01,54.53,97.68,85.83,69.68,77.91,United Kingdom
82.85,91.23,75.15,82.18,98.52,98.68,90.05,77.66,95.33,85,68.66,51.63,82.16,82.64,74.46,89.47,United States
79.21,86.18,75.03,76.41,97.57,96.33,78.7,72.11,95.54,82.41,71.16,51.01,93.04,82.56,84.12,45.93,Uruguay
59.71,79.31,54.25,45.56,92.9,76.48,83.76,64.1,94.35,50.71,52.63,19.33,11.56,63.81,53.35,53.51,Uzbekistan
63.45,66.12,74.69,49.55,95.99,81.86,61.02,25.59,91.66,73.96,71.31,61.83,36.6,54.35,60.58,46.66,Venezuela
40.3,49.72,50.07,21.12,71.55,43.57,34.98,48.8,60.42,41.57,64.93,33.37,15.52,43.38,20.4,5.16,Yemen
51.62,43.87,64.82,46.19,48.84,34.46,37.21,54.95,74.32,55.47,68.64,60.83,53.92,56.29,50.55,23.99,Zambia
